 cycle              dipMom          dipAccel          totalnorm
 0.317383E-01 -0.731244E-03  0.267721E-03  0.100000E+01
 0.319824E-01 -0.752409E-03  0.274514E-03  0.100000E+01
 0.322266E-01 -0.773999E-03  0.281417E-03  0.100000E+01
 0.324707E-01 -0.796020E-03  0.288433E-03  0.100000E+01
 0.327148E-01 -0.818476E-03  0.295562E-03  0.100000E+01
 0.329590E-01 -0.841372E-03  0.302805E-03  0.100000E+01
 0.332031E-01 -0.864711E-03  0.310162E-03  0.100000E+01
 0.334473E-01 -0.888499E-03  0.317635E-03  0.100000E+01
 0.336914E-01 -0.912740E-03  0.325223E-03  0.100000E+01
 0.339355E-01 -0.937439E-03  0.332928E-03  0.100000E+01
 0.341797E-01 -0.962599E-03  0.340750E-03  0.100000E+01
 0.344238E-01 -0.988226E-03  0.348690E-03  0.100000E+01
 0.346680E-01 -0.101432E-02  0.356748E-03  0.100000E+01
 0.349121E-01 -0.104089E-02  0.364926E-03  0.100000E+01
 0.351562E-01 -0.106795E-02  0.373224E-03  0.100000E+01
 0.354004E-01 -0.109548E-02  0.381642E-03  0.100000E+01
 0.356445E-01 -0.112350E-02  0.390181E-03  0.100000E+01
 0.358887E-01 -0.115202E-02  0.398842E-03  0.100000E+01
 0.361328E-01 -0.118103E-02  0.407626E-03  0.100000E+01
 0.363770E-01 -0.121054E-02  0.416532E-03  0.100000E+01
 0.366211E-01 -0.124056E-02  0.425563E-03  0.100000E+01
 0.368652E-01 -0.127109E-02  0.434717E-03  0.100000E+01
 0.371094E-01 -0.130213E-02  0.443997E-03  0.100000E+01
 0.373535E-01 -0.133369E-02  0.453402E-03  0.100000E+01
 0.375977E-01 -0.136577E-02  0.462933E-03  0.100000E+01
 0.378418E-01 -0.139837E-02  0.472590E-03  0.100000E+01
 0.380859E-01 -0.143151E-02  0.482375E-03  0.100000E+01
 0.383301E-01 -0.146518E-02  0.492287E-03  0.100000E+01
 0.385742E-01 -0.149939E-02  0.502328E-03  0.100000E+01
